x,y,curvature,max_speed
-2.968750000000000000e-01,-4.781250000000000000e+00,0.000000000000000000e+00,4.700000000000000000e+01
-3.271935200075006267e-01,-4.482785953011832802e+00,0.000000000000000000e+00,4.700000000000000000e+01
-3.324263225911166519e-01,-4.182831593521724400e+00,2.792216363845139715e-01,9.371950239699103236e+00
-3.277178929834189680e-01,-3.882868544646318032e+00,1.104581776544191346e-01,1.490066225997608917e+01
-3.198252435065872534e-01,-3.582972385810903937e+00,3.538802624541868835e-02,2.632548237220491316e+01
-3.094606642141525255e-01,-3.283151480108698284e+00,2.747861131687365926e-02,2.987494521189086782e+01
-2.453106698311038336e-01,-2.990090431484602185e+00,6.023171864635644690e-01,6.381046071929880270e+00
-2.093853000961793942e-01,-2.692249252650296132e+00,3.180727227494782872e-01,8.780945764985354174e+00
-1.851185908753995857e-01,-2.393232318642213308e+00,1.301977438183598013e-01,1.372469742611697185e+01
-1.654116659589659755e-01,-2.093880289902907865e+00,5.080089600284447976e-02,2.197196112269690715e+01
-1.473685155021876581e-01,-1.794423373600087857e+00,1.852308154204309124e-02,3.638713723579360959e+01
-1.306956899967952057e-01,-1.494887037090363524e+00,1.525138342904282067e-02,4.010050927746564042e+01
-1.140295159688271276e-01,-1.195350330419428841e+00,7.401965622039190652e-05,4.700000000000000000e+01
-9.766390628908994120e-02,-8.957970516528452887e-01,3.344676286062648815e-03,4.700000000000000000e+01
-8.103513278222725102e-02,-5.962582663651008197e-01,2.928473686142850016e-03,4.700000000000000000e+01
-6.452162560395528768e-02,-2.967131043599814944e-01,1.282695332290489107e-03,4.700000000000000000e+01
-4.771457283859567577e-02,2.815730608110467159e-03,3.266658803805596711e-03,4.700000000000000000e+01
-3.106151909222619814e-02,3.023531670011606054e-01,1.713767134072370982e-03,4.700000000000000000e+01
-1.293205640240463125e-02,6.018048702565910180e-01,1.643217838063856795e-02,3.863286688239598021e+01
-3.464586296833671586e-02,9.010180227155317745e-01,4.427109264281856027e-01,7.442937765268966999e+00
4.483436280794768358e-02,1.190297980041563841e+00,1.129782047549960255e+00,4.659155156451557644e+00
8.941883989040799730e-02,1.486966523037418941e+00,3.963264141536835261e-01,7.866435735469789137e+00
1.204230477614739309e-01,1.785360120646831028e+00,1.521043847526181991e-01,1.269795083341679032e+01
1.459184645512990597e-01,2.084274796972221733e+00,6.148200801266118232e-02,1.997241062640313203e+01
1.688943535302627474e-01,2.383393683914564853e+00,2.808655573509729469e-02,2.954984897729712756e+01
1.905846859574600871e-01,2.682608538958891842e+00,1.432370703624452277e-02,4.137869531995855255e+01
2.119351306883326957e-01,2.981847838700409703e+00,3.786284367535223180e-03,4.700000000000000000e+01
2.339648167868149387e-01,3.281037900250592720e+00,7.566929634193312465e-03,4.700000000000000000e+01
2.575547948939838072e-01,3.580108983662050992e+00,1.738690776689786471e-02,3.755721089679912694e+01
2.772420563653303360e-01,3.879462306235492264e+00,4.347676559007575270e-02,2.375067156970700566e+01
2.525650824207337219e-01,4.178445661887504770e+00,4.929530891417226446e-01,7.053451943695514537e+00
2.440388420373430789e-01,4.478324476119062147e+00,1.797282037927808440e-01,1.168144022600904819e+01
2.433473929864861107e-01,4.778323679281687220e+00,8.706351358283814790e-02,1.678364995352093203e+01
2.473665571727946544e-01,5.078296755272256213e+00,5.234095214561194920e-02,2.164630127332507215e+01
2.565572842706432266e-01,5.378155939782940820e+00,5.747574283515256843e-02,2.065676037341484417e+01
2.726804389824560304e-01,5.677722366276530153e+00,7.709562755164531267e-02,1.783567844955451775e+01
2.873141246450091058e-01,5.977365245791344428e+00,1.657144320952178354e-02,3.847019091787564093e+01
3.048577880152897324e-01,6.276851839607411776e+00,3.237968323363023954e-02,2.752125346657680893e+01
3.271282202015049489e-01,6.576024077373952004e+00,5.263567203886548168e-02,2.158561475914203243e+01
3.521914691849903356e-01,6.874975300068210338e+00,3.112831533311147258e-02,2.806898441555719970e+01
3.792500023164967482e-01,7.173752534449899798e+00,2.225395169269607856e-02,3.319716045206723010e+01
4.092092403518813870e-01,7.472252859502217071e+00,3.237657992929331846e-02,2.752257239493425089e+01
4.421470126388314381e-01,7.770439215925130760e+00,3.327818138903587686e-02,2.714717957340594268e+01
4.956113574494096508e-01,8.065636715633335285e+00,2.304781514052128832e-01,1.031548441033930885e+01
5.332113323121927539e-01,8.363271125422119923e+00,1.783382708147761564e-01,1.172687328352633074e+01
5.646614822821016677e-01,8.661618051109096328e+00,6.878847979751659403e-02,1.888194168961908304e+01
5.945384651699209266e-01,8.960126620321975821e+00,1.757166383889615519e-02,3.735924276305222946e+01
6.243980760623021320e-01,9.258636927744275269e+00,1.939860137906051552e-04,4.700000000000000000e+01
6.539525527140268579e-01,9.557177599864244755e+00,3.407126148117739766e-03,4.700000000000000000e+01
6.829796970522206134e-01,9.855770005815182699e+00,5.887376724014624883e-03,4.700000000000000000e+01
