s,x,y,curvature,heading,velocity
0,0.213192697,-16.67856938,0.015410021,1.528626249,35.68073566
0.749240672,0.244778871,-15.92999481,0.014872127,1.542570959,36.32021079
1.497775295,0.265903731,-15.18175833,0.014154014,1.555186656,37.2301132
2.245801139,0.277579694,-14.43382362,0.013255188,1.56646358,38.47159311
2.993477451,0.280819176,-13.68615432,0.012174007,1.57639482,40
3.740929382,0.276634593,-12.93871411,0.01091006,1.584975726,40
4.488251989,0.266038363,-12.19146663,0.009463373,1.59220338,40
5.235514293,0.250042901,-11.44437554,0.007834122,1.598076127,40
5.98276336,0.229660625,-10.6974045,0.006042574,1.602593182,40
6.730028414,0.205903949,-9.950517171,0.004207455,1.605754308,40
7.477324949,0.179785292,-9.20367721,0.002393723,1.607559561,40
8.224658852,0.152317068,-8.456848274,0.000579944,1.608009125,40
8.972030522,0.124511696,-7.709994022,-0.001233491,1.607103203,40
9.719438992,0.097381591,-6.963078111,-0.003046274,1.604841999,40
10.46688605,0.071939169,-6.216064199,-0.004843351,1.601225765,40
11.21438035,0.049196848,-5.468915945,-0.006728445,1.596254926,40
11.96194153,0.030167043,-4.721597006,-0.008840897,1.589930279,40
12.70960436,0.015862171,-3.97407104,-0.011452225,1.582253266,40
13.45742277,0.007294649,-3.226301706,-0.014918911,1.573226318,36.26322158
14.20547402,0.005476892,-2.478252662,-0.01962404,1.562853277,31.61871613
14.95386273,0.011421318,-1.729887565,-0.025850514,1.550123822,27.54904255
15.70256283,0.026897722,-0.981347438,-0.033657629,1.529723057,24.14355891
16.45084362,0.05762342,-0.233697743,-0.042846423,1.499846769,21.39868797
17.19811725,0.110597684,0.511695849,-0.053008016,1.460400516,19.23865162
17.94443205,0.192820462,1.253467507,-0.063621639,1.411365906,17.56077437
18.69067995,0.311291704,1.9902514,-0.074066454,1.35328339,16.27555444
19.43828039,0.472625247,2.72023626,-0.083563737,1.288642574,15.32279448
20.1863001,0.680892548,3.438677786,-0.091222955,1.217814653,14.66543849
20.93332478,0.939136874,4.139645502,-0.096210329,1.140164341,14.28026923
21.67895978,1.250398603,4.817205596,-0.097899965,1.055252457,14.15650401
22.42401753,1.617718112,5.465424258,-0.09611545,0.965677664,14.28731564
23.17054876,2.042389626,6.079397375,-0.091408408,0.888098541,14.65055423
23.91959447,2.514953913,6.660562117,-0.085055169,0.828134672,15.18786028
24.66918817,3.021867456,7.212766227,-0.07873183,0,15.7859808
14.96175564,3.361610795,7.331476434,-0.117131109,0.638644667,12.94230169
15.70712107,3.960067995,7.775794572,-0.116466393,0.547659389,12.97918204
16.45601107,4.599429534,8.165734384,-0.114428608,0.461284443,13.09423997
17.2076644,5.272521204,8.500294278,-0.111405727,0.378433845,13.27069887
17.96058535,5.972168798,8.778472657,-0.107802942,0.297934083,13.49062845
18.71275136,6.691198108,8.999267928,-0.103932095,0.219111786,13.73955197
19.46253779,7.423057817,9.162243555,-0.099997126,0.143456156,14.00727229
20.21085925,8.163692368,9.269227044,-0.096114658,0.071443001,14.28737457
20.95874591,8.909671196,9.32261287,-0.092355209,0.002918373,14.57526473
21.70664163,9.657563736,9.324795505,-0.088795212,-0.062388916,14.86456768
22.45447227,10.40393942,9.278169424,-0.085549805,-0.124941128,15.14389013
23.20188892,11.14552997,9.185029111,-0.082768574,-0.185657821,15.39622116
23.94923437,11.88003231,9.047074306,-0.080616371,-0.244877397,15.60038028
24.69700923,12.60549885,8.865785726,-0.079256553,0,15.73363863
14.96741613,12.69161938,8.66182491,-0.114899781,-0.44682944,13.0673647
15.71220277,13.36328411,8.33999632,-0.114267418,-0.535585157,13.10347228
16.45917643,14.00565915,7.958782541,-0.112588048,-0.620610125,13.20083575
17.2081493,14.61496641,7.523231134,-0.110073824,-0.702712219,13.35074503
17.95833658,15.18742841,7.038392794,-0.106987191,-0.782792211,13.54196166
18.70851851,15.71926769,6.509318216,-0.103557576,-0.861462666,13.76437405
19.45750512,16.20710386,5.940990135,-0.099965964,-0.937199069,14.0094553
20.20578044,16.65011849,5.337952822,-0.096350327,-1.009328103,14.26989088
20.95403273,17.04851015,4.704576487,-0.09281945,-1.078104922,14.53876998
21.70238509,17.40247998,4.045230904,-0.089475574,-1.143890545,14.8079462
22.45046979,17.71222915,3.364285842,-0.086437049,-1.207232097,15.06596744
23.19780515,17.97798739,2.665799834,-0.083838574,-1.268902466,15.29765884
23.94483887,18.20010214,1.952550644,-0.081819158,-1.329117818,15.48529006
24.69212066,18.3789511,1.226986636,-0.080512625,0,15.61042806
15.70667984,18.27457544,0.185404723,-0.114450844,-1.632244061,13.09296793
16.45351504,18.22871299,-0.560020959,-0.112727874,-1.717353874,13.19264627
17.20241182,18.119349,-1.300889305,-0.110174139,-1.799466286,13.34466566
17.95255269,17.94930534,-2.031503075,-0.107064391,-1.87949579,13.53707852
18.70267322,17.72140385,-2.746165029,-0.1036355,-1.95809019,13.75919839
19.45152694,17.4385737,-3.439554542,-0.100068243,-2.033821467,14.00229405
20.19957551,17.10445276,-4.10883763,-0.096492758,-2.106029357,14.25935534
20.94752759,16.72296616,-4.752188457,-0.09300471,-2.174961198,14.52428279
21.69553847,16.2980399,-5.367784055,-0.089692134,-2.240969527,14.79005888
22.44328232,15.83359993,-5.953801461,-0.086662995,-2.304569242,15.04631497
23.19031183,15.33333193,-6.508585207,-0.084048443,-2.366444747,15.27854795
23.93708215,14.79990079,-7.031191314,-0.081991322,-2.426794162,15.46902387
24.68414444,14.23570043,-7.520864676,-0.080635028,0,15.59857542
14.96193999,13.83400333,-7.598733942,-0.115111233,-2.649918119,13.05535732
15.70649711,13.1776438,-7.950241388,-0.114458425,-2.738839562,13.09253432
16.45331615,12.49058119,-8.242959075,-0.11275144,-2.823963396,13.19126751
17.20218912,11.77916796,-8.47684355,-0.110212672,-2.906109718,13.34233272
17.95229987,11.04975894,-8.651853853,-0.107114286,-2.986192709,13.53392529
18.70238868,10.30870892,-8.767949026,-0.103691073,-3.06485603,13.75551082
19.45121634,9.562084912,-8.825355155,-0.100122817,-3.140647739,13.99847749
20.19924837,8.814053221,-8.826061982,-0.096539954,3.070286924,14.25586944
20.94719286,8.068009383,-8.772774437,-0.093039517,3.001328741,14.52156569
21.6952016,7.327346738,-8.668199494,-0.08971137,2.935308704,14.7884731
22.44294272,6.595458621,-8.515044125,-0.086665219,2.871709758,15.04612193
23.18996328,5.875478616,-8.315874568,-0.084033714,2.809846556,15.27988684
23.93672092,5.169437876,-8.072659777,-0.081960916,2.749521953,15.47189289
24.68376986,4.479075141,-7.787210279,-0.080591167,0,15.60281949
14.96226882,4.309390682,-7.513845785,-0.115102191,2.536844046,13.05587009
15.70683608,3.696876111,-7.090518134,-0.114443975,2.447927233,13.09336084
16.45366334,3.122634909,-6.613026777,-0.112730299,2.362814683,13.19250432
17.20254541,2.589601293,-6.087004419,-0.110183833,2.280687253,13.34407864
17.95266768,2.10070832,-5.518086961,-0.107077231,2.200631456,13.53626687
18.70277061,1.658889043,-4.911910305,-0.103645956,2.122003943,13.75850434
19.45161444,1.266707271,-4.273975717,-0.10007062,2.046253383,14.00212779
20.19966489,0.924291023,-3.608896327,-0.096482554,1.974047292,14.26010932
20.94762989,0.630781618,-2.920925497,-0.092979666,1.905137549,14.5262387
21.69566077,0.385317573,-2.214315565,-0.089652573,1.839170372,14.79332166
22.44342494,0.187037407,-1.493318871,-0.086611375,1.775625998,15.05079802
23.19046812,0.035088529,-0.761892149,-0.083988454,1.713805749,15.28400326
23.93724499,-0.071343945,-0.022738699,-0.081926859,1.653508749,15.47510836
24.68430803,-0.133064906,0.721770339,-0.080569333,0,15.60493347
14.21829642,0.005579815,0.353597717,-0.114585031,1.521103104,13.08529936
14.96141412,0.042492531,1.095798066,-0.11505581,1.42984904,13.05850129
15.70595926,0.14708703,1.832959824,-0.11440952,1.340978382,13.09533227
16.45275237,0.317206694,2.560118167,-0.112713614,1.255888109,13.19348076
17.20158702,0.549142652,3.272128727,-0.11018842,1.173760374,13.34380091
17.95165166,0.839182574,3.96384674,-0.107103977,1.093683522,13.53457664
18.7016937,1.183614126,4.630127442,-0.10369323,1.015015042,13.75536778
19.45047974,1.578678997,5.266212563,-0.100134477,0.939210287,13.99766244
20.19847299,2.020313342,5.86991199,-0.096557032,0.866943872,14.25460864
20.9463805,2.504328734,6.440082795,-0.093057073,0.797966821,14.52019588
21.69435348,3.026536377,6.975585133,-0.089723749,0.731924423,14.78745292
22.44205991,3.582747478,7.475279158,-0.08666646,0.668304108,15.04601423
23.18904671,4.169037745,7.938153875,-0.084018477,0.60643924,15.28127234
23.9357746,4.782611105,8.3637479,-0.081925605,0.546137996,15.47522678
24.68280053,5.420972235,8.751746358,-0.080534853,0,15.60827366
14.95846355,5.740291911,8.726041244,-0.115207651,0.333320982,13.04989317
15.70286558,6.443722795,8.969596955,-0.114547877,0.244321917,13.08742132
16.44955026,7.168232113,9.15021881,-0.112825594,0.159147494,13.18693185
17.19830056,7.907520268,9.268878161,-0.110262021,0.076972437,13.33934661
17.94828655,8.655285607,9.326549423,-0.107127768,-0.003123456,13.53307371
18.69823108,9.405226478,9.324207008,-0.103655936,-0.081790281,13.75784198
19.44687504,10.15136775,9.263043455,-0.100025516,-0.157544298,14.00528433
20.19469476,10.88992613,9.145715482,-0.09636787,-0.229680607,14.26859195
20.94242495,11.6180203,8.975482344,-0.092782905,-0.298439712,14.54163293
21.69023214,12.33277174,8.75560516,-0.089364884,-0.36417069,14.81711404
22.43778738,13.03130191,8.489345049,-0.086229199,-0.427393972,15.08411405
23.18462824,13.71096371,8.179779066,-0.083515634,-0.48882946,15.32720652
23.93121322,14.370111,7.829188166,-0.081376408,-0.548680902,15.52735833
24.67810407,15.00736817,7.439638124,-0.079964308,0,15.66385648
14.95344795,15.13368725,7.148698886,-0.11510064,-0.760336606,13.05595805
15.69784659,15.67308153,6.635685111,-0.114666208,-0.849158712,13.08066676
16.44446802,16.16631082,6.075177809,-0.113239182,-0.934505621,13.16282849
17.1930249,16.61111539,5.473109463,-0.111015856,-1.017215396,13.29398056
17.94268144,17.00523735,4.835416112,-0.108235163,-1.098210387,13.46366534
18.69221725,17.34641878,4.168033795,-0.105097206,-1.178120527,13.66318192
19.44046248,17.63274374,3.476738674,-0.101749588,-1.255295321,13.88612396
20.18789501,17.86466667,2.766198635,-0.098296214,-1.3289556,14.12794182
20.93522987,18.04364604,2.040612125,-0.094814372,-1.399367376,14.38500857
21.68262135,18.17114394,1.304175903,-0.091380237,-1.466906249,14.65281224
22.42973878,18.24862248,0.56108673,-0.088100541,-1.532015604,14.92305537
23.17614812,18.27756152,-0.18476141,-0.085124319,-1.594976859,15.18169023
23.92240062,18.2595185,-0.930795746,-0.082633718,-1.655867136,15.40877901
24.66910903,18.196072,-1.674803805,-0.080828048,0,15.57993963
11.99405378,18.21750978,0.931257597,-0.108183951,-1.524832864,13.46685165
12.7426201,18.25190437,0.18348186,-0.110079104,-1.606292704,13.35042481
13.49030442,18.22536986,-0.563731466,-0.111899674,-1.690364584,13.24137702
14.23696186,18.1363059,-1.305057942,-0.113274566,-1.777617403,13.1607725
14.9829756,17.98311216,-2.035173127,-0.113887081,-1.867662297,13.12533403
15.72931154,17.76479045,-2.748862815,-0.113561871,-1.955836922,13.14411406
16.47676624,17.48404889,-3.441591258,-0.11229925,-2.040775572,13.21779889
17.22542715,17.14500448,-4.109080624,-0.110249179,-2.12316585,13.34012349
17.97485184,16.75177698,-4.747053579,-0.107629981,-2.203788487,13.50146367
18.72421111,16.30848611,-5.351232789,-0.104645249,-2.283178894,13.69265506
19.47266342,15.81926866,-5.917666503,-0.101453424,-2.359924802,13.90637725
20.22067252,15.28837699,-6.444612091,-0.098159671,-2.433425054,14.13776446
20.96882833,14.72011149,-6.931244845,-0.09482251,-2.503977228,14.38439127
21.71721126,14.11877268,-7.376743051,-0.091478491,-2.571974931,14.64494118
22.46546702,13.48866112,-7.780284992,-0.088185592,-2.637825029,14.91585734
23.21301613,12.83398,-8.141148274,-0.085061578,-2.70137457,15.18728808
23.96024611,12.15799186,-8.459570441,-0.0822948,-2.762411834,15.44047529
24.70791406,11.46343214,-8.736326909,-0.080133543,0,15.6473076
14.97294236,11.14701049,-8.678661755,-0.115318352,-2.969724505,13.04362801
15.71837012,10.41256513,-8.806147248,-0.114451575,-3.058666328,13.09292614
16.46636696,9.667138717,-8.86810481,-0.112558482,3.139592776,13.20256938
17.21654344,8.916963742,-8.86660455,-0.10988859,3.057794961,13.36199255
17.96786979,8.168273776,-8.803718793,-0.106727989,2.978146641,13.5583957
18.71884993,7.427302391,-8.681519867,-0.103305013,2.899918791,13.78118937
19.46803488,6.699889696,-8.502218795,-0.099770858,2.824401067,14.0231465
20.21595668,5.989277905,-8.268942378,-0.096210329,2.752261881,14.28026922
20.96352409,5.297655982,-7.985188698,-0.09266797,2.683318497,14.550648
21.71110785,4.627209892,-7.654456892,-0.089185959,2.617279619,14.8319695
22.45860488,3.980125596,-7.280246098,-0.08584422,2.553775762,15.11789915
23.20561241,3.358500821,-6.865996312,-0.082782882,2.492491478,15.3948906
23.95244676,2.763552086,-6.414556884,-0.080199225,2.43333531,15.64089885
24.69973489,2.195989256,-5.928437572,-0.078329906,0,15.8264287
14.96601637,2.119627371,-5.617765834,-0.118399278,2.194979944,12.87280349
15.70890467,1.685457433,-5.014956173,-0.11418983,2.100500873,13.10792313
16.45313037,1.309416261,-4.372721844,-0.106850758,2.015948055,13.55060437
17.20019591,0.987733707,-3.698461325,-0.096484139,1.940825526,14.25999221
17.94982013,0.716637614,-2.999574082,-0.083380743,1.874312084,15.33959933
18.70023487,0.492355826,-2.283459583,-0.067949236,1.816564931,16.99237241
19.44921564,0.31012738,-1.556985233,-0.050782233,1.773487241,19.65573677
20.19757687,0.159477862,-0.823944139,-0.032672214,1.747505542,24.50493598
20.94615047,0.027885366,-0.087027687,-0.01456927,1.738636935,36.69574472
21.69477208,-0.097174639,0.651074146,0.002497547,1.746869421,40
22.44293659,-0.228226682,1.387671385,0.017607094,1.771240585,33.3805379
23.19042102,-0.377054355,2.120189843,0.030213366,1.803035756,25.48254279
23.93735098,-0.548965817,2.847067281,0.04030978,1.837746911,22.06169631
24.68399423,-0.745923783,3.567264271,0.048425719,0,20.12829458
14.95204466,-0.868369579,3.806400539,0.10549988,2.030848943,13.63708228
15.69291606,-1.197312964,4.470242903,0.113544577,2.130922658,13.14511503
16.43754302,-1.592928228,5.101081931,0.116716968,2.224525684,12.96524242
17.18581601,-2.047991249,5.695076977,0.115965249,2.312814578,13.00719639
17.93647003,-2.555265931,6.248388685,0.112530508,2.39713261,13.20421026
18.68736722,-3.107516181,6.7571777,0.107589844,2.478500512,13.50398183
19.43640302,-3.697825761,7.218251693,0.102088434,2.555580152,13.86306003
20.18438442,-4.321008376,7.631917745,0.096669834,2.627687004,14.24628959
20.93246455,-4.9724599,7.999660584,0.091705407,2.694976926,14.62681141
21.6810024,-5.647576648,8.322965823,0.087426779,2.757760141,14.98044719
22.42965548,-6.341754931,8.603319074,0.084034207,2.816750066,15.27984206
23.17760764,-7.05058993,8.842035196,0.081667131,2.874719718,15.49969647
23.92473214,-7.771266418,9.039064151,0.080360764,2.932975645,15.62517072
24.67138584,-8.501731388,9.19370143,0.080042528,0,15.65620105
14.96181762,-8.807348279,9.050630084,0.113929356,-3.122584856,13.12289866
15.70438718,-9.549783697,9.036516321,0.113134577,-3.033617682,13.16891227
16.4458715,-10.28694988,8.95661005,0.111108841,-2.948725078,13.28841673
17.18816146,-11.01547677,8.8143323,0.108071848,-2.867805527,13.47383437
17.93239957,-11.73199487,8.613105618,0.104444701,-2.790564735,13.70579451
18.67907163,-12.43313469,8.356352554,0.100689825,-2.716571049,13.95900789
19.42810532,-13.11552672,8.047495656,0.097183402,-2.645299463,14.20859768
20.17896903,-13.77580147,7.689957471,0.094132956,-2.576164127,14.43697973
20.93076763,-14.41058945,7.287160548,0.091551854,-2.508539963,14.63907236
21.68233389,-15.01652116,6.842527435,0.089313547,-2.441775394,14.82137175
22.43231583,-15.59022726,6.359480635,0.087273395,-2.375635908,14.99360547
23.17986944,-16.12900369,5.841256388,0.085362896,-2.311207421,15.16046031
23.92598492,-16.6323268,5.290480436,0.083636643,-2.248815318,15.31611466
24.67176592,-17.10011899,4.709653636,0.082277221,0,15.44212468
14.95989944,-17.11038795,4.340716414,0.114898645,-2.028305025,13.06742927
15.70432997,-17.43921363,3.6728463,0.114193352,-1.939545685,13.10772099
16.45100022,-17.70835028,2.976368069,0.112425282,-1.854644394,13.21038814
17.19972859,-17.91803301,2.257600147,0.109818117,-1.772793373,13.36627917
17.94971418,-18.06849975,1.522863363,0.106647294,-1.69308811,13.56352415
18.69970014,-18.15998843,0.778478543,0.103151956,-1.614879484,13.79140981
19.44843267,-18.19298423,0.030473407,0.09951648,-1.539572639,14.04105745
20.19636581,-18.1696348,-0.717095178,0.095875457,-1.46783711,14.30518613
20.94421359,-18.09277294,-1.460982636,0.092329178,-1.399433264,14.57731922
21.69213246,-17.96523362,-2.197946921,0.088969826,-1.334015741,14.84997389
22.43979259,-17.7898518,-2.92474599,0.085908471,-1.271062148,15.11224474
23.18673134,-17.569306,-3.638382485,0.083277991,-1.20982035,15.34905966
23.93339146,-17.30559499,-4.336922285,0.081221484,-1.150075215,15.54215968
24.68032584,-17.00053296,-5.018719993,0.079881407,0,15.6719822
14.98088847,-16.69799357,-5.193933241,0.116662681,-0.926728141,12.96825862
15.72634972,-16.2503787,-5.790048508,0.115778857,-0.834531356,13.01766216
16.47310108,-15.74891649,-6.343377735,0.113392185,-0.747772331,13.15394506
17.22172472,-15.2000215,-6.852447136,0.109856708,-0.665797882,13.36393133
17.97184226,-14.61011092,-7.31578484,0.10568043,-0.587775102,13.62542825
18.72229486,-13.98560193,-7.731918977,0.101343023,-0.512840641,13.91394981
19.47166989,-13.33263081,-8.099603155,0.097195855,-0.44076952,14.20768747
20.22021362,-12.65563017,-8.418958532,0.093423167,-0.371530335,14.49171836
20.96850376,-11.95839373,-8.690619117,0.090057055,-0.30489517,14.76006332
21.716691,-11.24471406,-8.915219826,0.087052909,-0.240559254,15.01258099
22.46455618,-10.51838374,-9.093395575,0.084388562,-0.178152068,15.247728
23.21181994,-9.782947042,-9.225819076,0.082107778,-0.117377479,15.45805
23.95895865,-9.040949266,-9.313315099,0.080324021,-0.058133005,15.62874398
24.70648614,-8.294684535,-9.356746646,0.079205471,0,15.73871131
14.9666265,-8.035980296,-9.163977886,0.116292704,0.164058545,12.98887091
15.71136787,-7.301238902,-9.042344052,0.115766251,0.255727939,13.01837094
16.45732512,-6.579540611,-8.853654357,0.113830023,0.342582672,13.12862313
17.20498854,-5.875323739,-8.602498662,0.110778073,0.425280884,13.30824045
17.95400661,-5.19302604,-8.293471287,0.107046277,0.504640791,13.53822381
18.703355,-4.537085268,-7.931166555,0.103053812,0.581419284,13.79797535
19.45180722,-3.911615717,-7.520108689,0.099120326,0.655303664,14.06908814
20.19964138,-3.318685749,-7.064378527,0.095433321,0.726141824,14.33828495
20.94738566,-2.759566135,-6.567884056,0.092057403,0.79420346,14.59882096
21.69510333,-2.235525835,-6.03453287,0.088991994,0.859841792,14.84812422
22.44245837,-1.747833809,-5.468232564,0.086249489,0.92348548,15.08233969
23.18906164,-1.29759961,-4.872660892,0.083888523,0.985489456,15.29310389
23.93540319,-0.885279341,-4.250553421,0.082015889,1.045964234,15.46670689
24.68204412,-0.511161687,-3.604404326,0.080776061,0,15.58495236
15.70785081,-0.321746505,-2.559888726,0.114303271,1.351950474,13.10141706
16.45600418,-0.159320053,-1.829579812,0.112462884,1.436981829,13.20817951
17.20628991,-0.059220307,-1.08600149,0.109798813,1.518790704,13.36745407
17.9577523,-0.020157651,-0.33555507,0.106623076,1.598335582,13.56506442
18.70895035,-0.04084247,0.415358141,0.103195572,1.676332189,13.78849498
19.45847956,-0.119797926,1.160717157,0.099697587,1.751619445,14.02829855
20.20683287,-0.254381286,1.896869318,0.096237129,1.823647658,14.27828069
20.95481931,-0.441501792,2.621072071,0.092872292,1.892625187,14.53463338
21.70273087,-0.678067753,3.330584753,0.089651519,1.95886164,14.79340865
22.45040793,-0.96098748,4.0226667,0.086657821,2.022781944,15.04676418
23.19757798,-1.287315953,4.694807163,0.084021045,2.084831421,15.28103876
23.94472498,-1.6546843,5.345398539,0.081906323,2.145157502,15.47704817
24.69234482,-2.060865098,5.973054958,0.080495987,0,15.61204123
14.96318581,-2.429547864,6.156099545,0.115092514,2.369456549,13.05641895
15.70780622,-2.963010316,6.675596766,0.114417331,2.458363154,13.09488528
16.45469266,-3.542249123,7.14710686,0.112686795,2.543447138,13.19505061
17.20364114,-4.161166148,7.568847933,0.110126545,2.625527484,13.34754898
17.953835,-4.813660459,7.93903978,0.107012317,2.705517802,13.54037175
18.70400958,-5.493631123,8.255902201,0.103581963,2.784064689,13.76275366
19.45291904,-6.195183142,8.517990248,0.100017064,2.859749455,14.00587606
20.20102549,-6.913772627,8.726058548,0.096448243,2.931920967,14.26264558
20.94903512,-7.645400321,8.881748365,0.092971304,3.000826647,14.52689186
21.69710253,-8.386068466,8.98670341,0.089674169,3.066818589,14.79154023
22.44490293,-9.131779304,9.042567394,0.086664318,3.130413578,15.04620013
23.19199163,-9.878821322,9.050918981,0.084071743,-3.090881213,15.27643065
23.93882099,-10.6246906,9.013062419,0.082037408,-3.030494312,15.46467825
24.68593804,-11.36720161,8.930229598,0.080702306,0,15.59207222
14.96158792,-11.59282825,8.717059296,0.115061267,-2.819301052,13.05819166
15.70613825,-12.29904323,8.481229676,0.114416369,-2.730424581,13.0949403
16.45294392,-12.98360607,8.182746148,0.112720845,-2.645329445,13.19305756
17.20179571,-13.64212233,7.826185718,0.110195789,-2.563196582,13.34335474
17.95187932,-14.27019777,7.416128805,0.107111844,-2.483113311,13.5340796
18.70193954,-14.86343814,6.957155827,0.103702344,-2.404437548,13.75476328
19.45074206,-15.41783943,6.453822514,0.100145783,-2.328625438,13.99687227
20.19875115,-15.9319807,5.910521169,0.096571511,-2.256348854,14.25354005
20.94667312,-16.4054907,5.331577685,0.093075658,-2.187358461,14.51874613
21.69465878,-16.83800123,4.721317759,0.08974732,-2.121299311,14.78551099
22.44237607,-17.22914409,4.084067092,0.086695773,-2.057658085,15.04347034
23.18937294,-17.57863001,3.423867186,0.084053972,-1.995766962,15.27804544
23.93611031,-17.88650537,2.743551477,0.081967158,-1.935433789,15.47130375
24.68314451,-18.15290569,2.045632456,0.080581587,0,15.60374697
15.70306918,-18.18412717,1.000968095,0.114645547,-1.633398512,13.08184537
16.44975087,-18.23084055,0.255749061,0.11287887,-1.548164072,13.18381957
17.19853238,-18.21389538,-0.492840686,0.110257563,-1.465986471,13.33961631
17.94857248,-18.13542763,-1.238764928,0.107056818,-1.385939628,13.53755732
18.69857307,-17.99757327,-1.97598745,0.103514313,-1.307370584,13.7672501
19.44725428,-17.80262444,-2.698841871,0.099813943,-1.231768911,14.02011962
20.19510323,-17.55391229,-3.404122184,0.096092485,-1.159841472,14.28902281
20.94286668,-17.25519211,-4.089626696,0.092455731,-1.091352855,14.56733927
21.69071527,-16.91022043,-4.753156687,0.089003947,-1.0259579,14.8471272
22.43831641,-16.52275377,-5.392513438,0.085857204,-0.963117344,15.11675593
23.18519744,-16.09631196,-6.005684424,0.083156807,-0.90202045,15.36023947
23.93180482,-15.63339596,-6.591458563,0.081052533,-0.842439966,15.55834965
